UKBPPP_ProteinID	olink_target_fullname	OlinkID	UniProt	Assay	Panel	Panel_Lot_Nr	UniProt2	HGNC.symbol	ensembl_id	chr	gene_start	gene_end	Strand	Dilution_factor	block	expansion
AKR1C4:P17516:OID20062:v1	Aldo-keto reductase family 1 member C4	OID20062	P17516	AKR1C4	Cardiometabolic	B04413	P17516	AKR1C4	ENSG00000198610	10	5195462	5218949	1	1:1	A	no
AKT1S1:Q96B36:OID20895:v1	Proline-rich AKT1 substrate 1	OID20895	Q96B36	AKT1S1	Neurology	B04414	Q96B36	AKT1S1	ENSG00000204673	19	49869033	49878459	-1	1:1	A	no
AKT3:Q9Y243:OID21197:v1	RAC-gamma serine/threonine-protein kinase	OID21197	Q9Y243	AKT3	Oncology	B04412	Q9Y243	AKT3	ENSG00000117020	1	243488233	243851079	-1	1:1	A	no
ALCAM:Q13740:OID20273:v1	CD166 antigen	OID20273	Q13740	ALCAM	Cardiometabolic	B04413	Q13740	ALCAM	ENSG00000170017	3	105366909	105576900	1	1:100	C	no
ALDH1A1:P00352:OID21128:v1	Retinal dehydrogenase 1	OID21128	P00352	ALDH1A1	Neurology	B04414	P00352	ALDH1A1	ENSG00000165092	9	72900671	73080442	-1	1:100	D	no
ALDH3A1:P30838:OID20512:v1	Aldehyde dehydrogenase, dimeric NADP-preferring	OID20512	P30838	ALDH3A1	Inflammation	B04411	P30838	ALDH3A1	ENSG00000108602	17	19737984	19748943	-1	1:1	B	no
ALPP:P05187:OID21383:v1	Alkaline phosphatase, placental type	OID21383	P05187	ALPP	Oncology	B04412	P05187	ALPP	ENSG00000163283	2	232378724	232382889	1	1:1	B	no
AMBN:Q9NP70:OID20437:v1	Ameloblastin	OID20437	Q9NP70	AMBN	Inflammation	B04411	Q9NP70	AMBN	ENSG00000178522	4	70592256	70607288	1	1:1	A	no
AMBP:P02760:OID21413:v1	Protein AMBP [Cleaved into: Alpha-1-microglobulin	OID21413	P02760	AMBP	Oncology	B04412	P02760	AMBP	ENSG00000106927	9	114060127	114078328	-1	1:1	C	no
AMFR:Q9UKV5:OID20806:v1	E3 ubiquitin-protein ligase AMFR	OID20806	Q9UKV5	AMFR	Neurology	B04414	Q9UKV5	AMFR	ENSG00000159461	16	56361452	56425545	-1	1:1	A	no
AMIGO2:Q86SJ2:OID21370:v1	Amphoterin-induced protein 2	OID21370	Q86SJ2	AMIGO2	Oncology	B04412	Q86SJ2	AMIGO2	ENSG00000139211	12	47075707	47079959	-1	1:1	B	no
AMN:Q9BXJ7:OID20492:v1	Protein amnionless [Cleaved into: Soluble protein amnionless]	OID20492	Q9BXJ7	AMN	Inflammation	B04411	Q9BXJ7	AMN	ENSG00000166126	14	102922663	102933596	1	1:1	A	no
AMY2A:P04746:OID20333:v1	Pancreatic alpha-amylase	OID20333	P04746	AMY2A	Cardiometabolic	B04413	P04746	AMY2A	ENSG00000243480	1	103617427	103625780	1	1:100	C	no
AMY2B:P19961:OID20340:v1	Alpha-amylase 2B	OID20340	P19961	AMY2B	Cardiometabolic	B04413	P19961	AMY2B	ENSG00000240038	1	103553815	103579534	1	1:100	C	no
ANG:P03950:OID20403:v1	Angiogenin	OID20403	P03950	ANG	Cardiometabolic	B04413	P03950	ANG	ENSG00000214274	14	20684177	20698971	1	1:1000	D	no
ANGPT1:Q15389:OID20740:v1	Angiopoietin-1	OID20740	Q15389	ANGPT1	Inflammation	B04411	Q15389	ANGPT1	ENSG00000154188	8	107249482	107498055	-1	1:10	D	no
ANGPT2:O15123:OID21463:v1	Angiopoietin-2	OID21463	O15123	ANGPT2	Oncology	B04412	O15123	ANGPT2	ENSG00000091879	8	6499632	6563409	-1	1:1	C	no
ANGPTL1:O95841:OID20211:v1	Angiopoietin-related protein 1	OID20211	O95841	ANGPTL1	Cardiometabolic	B04413	O95841	ANGPTL1	ENSG00000116194	1	178849535	178871077	-1	1:10	B	no
ANGPTL2:Q9UKU9:OID20726:v1	Angiopoietin-related protein 2	OID20726	Q9UKU9	ANGPTL2	Inflammation	B04411	Q9UKU9	ANGPTL2	ENSG00000136859	9	127087348	127122635	-1	1:10	D	no
ANGPTL3:Q9Y5C1:OID20407:v1	Angiopoietin-related protein 3	OID20407	Q9Y5C1	ANGPTL3	Cardiometabolic	B04413	Q9Y5C1	ANGPTL3	ENSG00000132855	1	62597520	62606313	1	1:1000	D	no
ANGPTL4:Q9BY76:OID20703:v1	Angiopoietin-related protein 4	OID20703	Q9BY76	ANGPTL4	Inflammation	B04411	Q9BY76	ANGPTL4	ENSG00000167772	19	8363289	8374370	1	1:10	D	no
ANGPTL7:O43827:OID21412:v1	Angiopoietin-related protein 7	OID21412	O43827	ANGPTL7	Oncology	B04412	O43827	ANGPTL7	ENSG00000171819	1	11189355	11195981	1	1:1	C	no
ANKRD54:Q6NXT1:OID21162:v1	Ankyrin repeat domain-containing protein 54	OID21162	Q6NXT1	ANKRD54	Oncology	B04412	Q6NXT1	ANKRD54	ENSG00000100124	22	37830855	37849327	-1	1:1	A	no
ANPEP:P15144:OID20350:v1	Aminopeptidase N	OID20350	P15144	ANPEP	Cardiometabolic	B04413	P15144	ANPEP	ENSG00000166825	15	89784895	89815401	-1	1:1000	D	no
ANXA10:Q9UJ72:OID20886:v1	Annexin A10	OID20886	Q9UJ72	ANXA10	Neurology	B04414	Q9UJ72	ANXA10	ENSG00000109511	4	168092537	168187736	1	1:1	A	no
ANXA11:P50995:OID20583:v1	Annexin A11	OID20583	P50995	ANXA11	Inflammation	B04411	P50995	ANXA11	ENSG00000122359	10	80150889	80205572	-1	1:1	B	no
ANXA3:P12429:OID21036:v1	Annexin A3	OID21036	P12429	ANXA3	Neurology	B04414	P12429	ANXA3	ENSG00000138772	4	78551747	78610451	1	1:10	C	no
ANXA4:P09525:OID20123:v1	Annexin A4	OID20123	P09525	ANXA4	Cardiometabolic	B04413	P09525	ANXA4	ENSG00000196975	2	69644425	69827112	1	1:10	B	no
ANXA5:P08758:OID20810:v1	Annexin A5	OID20810	P08758	ANXA5	Neurology	B04414	P08758	ANXA5	ENSG00000164111	4	121667946	121696995	-1	1:1	A	no
AOC1:P19801:OID20452:v1	Amiloride-sensitive amine oxidase [copper-containing]	OID20452	P19801	AOC1	Inflammation	B04411	P19801	AOC1	ENSG00000002726	7	150824627	150861504	1	1:1	A	no
AOC3:Q16853:OID20389:v1	Membrane primary amine oxidase	OID20389	Q16853	AOC3	Cardiometabolic	B04413	Q16853	AOC3	ENSG00000131471	17	42851184	42858130	1	1:1000	D	no
APBB1IP:Q7Z5R6:OID21359:v1	Amyloid beta A4 precursor protein-binding family B member 1-interacting protein	OID21359	Q7Z5R6	APBB1IP	Oncology	B04412	Q7Z5R6	APBB1IP	ENSG00000077420	10	26438341	26567803	1	1:1	B	no
APEX1:P27695:OID21434:v1	APEX nuclease	OID21434	P27695	APEX1	Oncology	B04412	P27695	APEX1	ENSG00000100823	14	20455191	20457772	1	1:1	C	no
APLP1:P51693:OID20164:v1	Amyloid-like protein 1	OID20164	P51693	APLP1	Cardiometabolic	B04413	P51693	APLP1	ENSG00000105290	19	35867899	35879792	1	1:10	B	no
APOH:P02749:OID21072:v1	Beta-2-glycoprotein 1	OID21072	P02749	APOH	Neurology	B04414	P02749	APOH	ENSG00000091583	17	66212033	66256525	-1	1:100	D	no
APOM:O95445:OID20374:v1	Apolipoprotein M	OID20374	O95445	APOM	Cardiometabolic	B04413	O95445	APOM	ENSG00000204444	6	31652416	31658210	1	1:1000	D	no
APP:P05067:OID21070:v1	Amyloid-beta precursor protein	OID21070	P05067	APP	Neurology	B04414	P05067	APP	ENSG00000142192	21	25880550	26171128	-1	1:100	D	no
APRT:P07741:OID20927:v1	Adenine phosphoribosyltransferase	OID20927	P07741	APRT	Neurology	B04414	P07741	APRT	ENSG00000198931	16	88809339	88811937	-1	1:1	B	no
AREG:P15514:OID21357:v1	Amphiregulin	OID21357	P15514	AREG	Oncology	B04412	P15514	AREG	ENSG00000109321	4	74445136	74455005	1	1:1	B	no
ARG1:P05089:OID21445:v1	Arginase-1	OID21445	P05089	ARG1	Oncology	B04412	P05089	ARG1	ENSG00000118520	6	131470832	131584332	1	1:1	C	no
ARHGAP1:Q07960:OID21202:v1	Rho GTPase-activating protein 1	OID21202	Q07960	ARHGAP1	Oncology	B04412	Q07960	ARHGAP1	ENSG00000175220	11	46677080	46700619	-1	1:1	A	no
ARHGAP25:P42331:OID21255:v1	Rho GTPase-activating protein 25	OID21255	P42331	ARHGAP25	Oncology	B04412	P42331	ARHGAP25	ENSG00000163219	2	68679601	68826833	1	1:1	A	no
ARHGEF12:Q9NZN5:OID20554:v1	Rho guanine nucleotide exchange factor 12	OID20554	Q9NZN5	ARHGEF12	Inflammation	B04411	Q9NZN5	ARHGEF12	ENSG00000196914	11	120336413	120489937	1	1:1	B	no
ARID4B:Q4LE39:OID20803:v1	AT-rich interactive domain-containing protein 4B	OID20803	Q4LE39	ARID4B	Neurology	B04414	Q4LE39	ARID4B	ENSG00000054267	1	235131634	235328219	-1	1:1	A	no
ARNT:P27540:OID20432:v1	Aryl hydrocarbon receptor nuclear translocator	OID20432	P27540	ARNT	Inflammation	B04411	P27540	ARNT	ENSG00000143437	1	150809713	150876708	-1	1:1	A	no
ARSA:P15289:OID21138:v1	Arylsulfatase A	OID21138	P15289	ARSA	Neurology	B04414	P15289	ARSA	ENSG00000100299	22	50622754	50628173	-1	1:100	D	no
ARSB:P15848:OID21331:v1	Arylsulfatase B	OID21331	P15848	ARSB	Oncology	B04412	P15848	ARSB	ENSG00000113273	5	78777209	78986087	-1	1:1	B	no
ART3:Q13508:OID20346:v1	Ecto-ADP-ribosyltransferase 3	OID20346	Q13508	ART3	Cardiometabolic	B04413	Q13508	ART3	ENSG00000156219	4	76011184	76112802	1	1:1000	D	no
ARTN:Q5T4W7:OID20446:v1	Artemin	OID20446	Q5T4W7	ARTN	Inflammation	B04411	Q5T4W7	ARTN	ENSG00000117407	1	43933320	43937240	1	1:1	A	no
ASAH2:Q9NR71:OID20996:v1	Neutral ceramidase	OID20996	Q9NR71	ASAH2	Neurology	B04414	Q9NR71	ASAH2	ENSG00000188611	10	50182778	50279720	-1	1:1	B	no
ASGR1:P07306:OID20990:v1	Asialoglycoprotein receptor 1	OID20990	P07306	ASGR1	Neurology	B04414	P07306	ASGR1	ENSG00000141505	17	7173431	7179564	-1	1:1	B	no
ATF2:P15336:OID20798:v1	Cyclic AMP-dependent transcription factor ATF-2	OID20798	P15336	ATF2	Neurology	B04414	P15336	ATF2	ENSG00000115966	2	175072250	175168382	-1	1:1	A	no
ATG4A:Q8WYN0:OID21246:v1	Cysteine protease ATG4A	OID21246	Q8WYN0	ATG4A	Oncology	B04412	Q8WYN0	ATG4A	ENSG00000101844	X	108091668	108154671	1	1:1	A	no
ATOX1:O00244:OID21476:v1	Copper transport protein ATOX1	OID21476	O00244	ATOX1	Oncology	B04412	O00244	ATOX1	ENSG00000177556	5	151742316	151772532	-1	1:10	D	no
ATP5IF1:Q9UII2:OID20760:v1	ATPase inhibitor, mitochondrial	OID20760	Q9UII2	ATP5IF1	Inflammation	B04411	Q9UII2	ATP5IF1	ENSG00000130770	1	28236109	28246906	1	1:10	D	no
ATP5PO:P48047:OID20811:v1	ATP synthase subunit O, mitochondrial	OID20811	P48047	ATP5PO	Neurology	B04414	P48047	ATP5PO	ENSG00000241837	21	33903453	33915814	-1	1:1	A	no
ATP6AP2:O75787:OID21178:v1	Renin receptor	OID21178	O75787	ATP6AP2	Oncology	B04412	O75787	ATP6AP2	ENSG00000182220	X	40579372	40606848	1	1:1	A	no
ATP6V1D:Q9Y5K8:OID21341:v1	V-type proton ATPase subunit D	OID21341	Q9Y5K8	ATP6V1D	Oncology	B04412	Q9Y5K8	ATP6V1D	ENSG00000100554	14	67294371	67360265	-1	1:1	B	no
ATP6V1F:Q16864:OID20843:v1	V-type proton ATPase subunit F	OID20843	Q16864	ATP6V1F	Neurology	B04414	Q16864	ATP6V1F	ENSG00000128524	7	128862856	128865847	1	1:1	A	no
ATXN10:Q9UBB4:OID20865:v1	Ataxin-10	OID20865	Q9UBB4	ATXN10	Neurology	B04414	Q9UBB4	ATXN10	ENSG00000130638	22	45671798	45845307	1	1:1	A	no
AXIN1:O15169:OID20582:v1	Axin-1	OID20582	O15169	AXIN1	Inflammation	B04411	O15169	AXIN1	ENSG00000103126	16	287440	352723	-1	1:1	B	no
AXL:P30530:OID20363:v1	Tyrosine-protein kinase receptor UFO	OID20363	P30530	AXL	Cardiometabolic	B04413	P30530	AXL	ENSG00000167601	19	41219223	41261766	1	1:1000	D	no
AZU1:P20160:OID20309:v1	Azurocidin	OID20309	P20160	AZU1	Cardiometabolic	B04413	P20160	AZU1	ENSG00000172232	19	825097	832018	1	1:100	C	no
B4GALT1:P15291:OID20780:v1	Beta-1,4-galactosyltransferase 1	OID20780	P15291	B4GALT1	Inflammation	B04411	P15291	B4GALT1	ENSG00000086062	9	33104082	33167356	-1	1:10	D	no
B4GAT1:O43505:OID21127:v1	Beta-1,4-glucuronyltransferase 1	OID21127	O43505	B4GAT1	Neurology	B04414	O43505	B4GAT1	ENSG00000174684	11	66345374	66347629	-1	1:100	D	no
BACH1:O14867:OID20505:v1	Transcription regulator protein BACH1	OID20505	O14867	BACH1	Inflammation	B04411	O14867	BACH1	ENSG00000156273	21	29194071	29630751	1	1:1	B	no
BAG3:O95817:OID20972:v1	BAG family molecular chaperone regulator 3	OID20972	O95817	BAG3	Neurology	B04414	O95817	BAG3	ENSG00000151929	10	119651380	119677819	1	1:1	B	no
BAG6:P46379:OID20114:v1	Large proline-rich protein BAG6	OID20114	P46379	BAG6	Cardiometabolic	B04413	P46379	BAG6	ENSG00000204463	6	31639028	31652705	-1	1:1	A	no
BAIAP2:Q9UQB8:OID21250:v1	Brain-specific angiogenesis inhibitor 1-associated protein 2	OID21250	Q9UQB8	BAIAP2	Oncology	B04412	Q9UQB8	BAIAP2	ENSG00000175866	17	81035122	81117434	1	1:1	A	no
BAMBI:Q13145:OID21267:v1	BMP and activin membrane-bound inhibitor homolog	OID21267	Q13145	BAMBI	Oncology	B04412	Q13145	BAMBI	ENSG00000095739	10	28677510	28682932	1	1:1	A	no
BANK1:Q8NDB2:OID20594:v1	B-cell scaffold protein with ankyrin repeats	OID20594	Q8NDB2	BANK1	Inflammation	B04411	Q8NDB2	BANK1	ENSG00000153064	4	101411286	102074812	1	1:1	B	no
BAX:Q07812:OID20856:v1	Apoptosis regulator BAX	OID20856	Q07812	BAX	Neurology	B04414	Q07812	BAX	ENSG00000087088	19	48954815	48961798	1	1:1	A	no
BCAM:P50895:OID21076:v1	Basal cell adhesion molecule	OID21076	P50895	BCAM	Neurology	B04414	P50895	BCAM	ENSG00000187244	19	44809071	44821421	1	1:100	D	no
BCAN:Q96GW7:OID20998:v1	Brevican core protein	OID20998	Q96GW7	BCAN	Neurology	B04414	Q96GW7	BCAN	ENSG00000132692	1	156641390	156659532	1	1:1	B	no
BCL2L11:O43521-2:OID20513:v1	Bcl-2-like protein 11	OID20513	O43521-2	BCL2L11	Inflammation	B04411	O43521	BCL2L11	ENSG00000153094	2	111119378	111168445	1	1:1	B	no
BCR:P11274:OID20558:v1	Breakpoint cluster region protein	OID20558	P11274	BCR	Inflammation	B04411	P11274	BCR	ENSG00000186716	22	23179704	23318037	1	1:1	B	no
BGN:P21810:OID21198:v1	Biglycan	OID21198	P21810	BGN	Oncology	B04412	P21810	BGN	ENSG00000182492	X	153494980	153509546	1	1:1	A	no
BID:P55957:OID20517:v1	BH3-interacting domain death agonist	OID20517	P55957	BID	Inflammation	B04411	P55957	BID	ENSG00000015475	22	17734138	17774770	-1	1:1	B	no
BIN2:Q9UBW5:OID21067:v1	Bridging integrator 2	OID21067	Q9UBW5	BIN2	Neurology	B04414	Q9UBW5	BIN2	ENSG00000110934	12	51281038	51324668	-1	1:100	D	no
BIRC2:Q13490:OID21217:v1	Baculoviral IAP repeat-containing protein 2	OID21217	Q13490	BIRC2	Oncology	B04412	Q13490	BIRC2	ENSG00000110330	11	102347211	102378670	1	1:1	A	no
BLMH:Q13867:OID20336:v1	Bleomycin hydrolase	OID20336	Q13867	BLMH	Cardiometabolic	B04413	Q13867	BLMH	ENSG00000108578	17	30248203	30292056	-1	1:100	C	no
BLVRB:P30043:OID21141:v1	Flavin reductase	OID21141	P30043	BLVRB	Neurology	B04414	P30043	BLVRB	ENSG00000090013	19	40447765	40465764	-1	1:100	D	no
BMP4:P12644:OID20994:v1	Bone morphogenetic protein 4	OID20994	P12644	BMP4	Neurology	B04414	P12644	BMP4	ENSG00000125378	14	53949736	53958761	-1	1:1	B	no
BMP6:P22004:OID20111:v1	Bone morphogenetic protein 6	OID20111	P22004	BMP6	Cardiometabolic	B04413	P22004	BMP6	ENSG00000153162	6	7726099	7881728	1	1:1	A	no
BOC:Q9BWV1:OID20116:v1	Brother of CDO	OID20116	Q9BWV1	BOC	Cardiometabolic	B04413	Q9BWV1	BOC	ENSG00000144857	3	113211003	113287459	1	1:1	A	no
BPIFB1:Q8TDL5:OID20308:v1	BPI fold-containing family B member 1	OID20308	Q8TDL5	BPIFB1	Cardiometabolic	B04413	Q8TDL5	BPIFB1	ENSG00000125999	20	33273480	33309871	1	1:100	C	no
BRK1:Q8WUW1:OID20883:v1	Protein BRICK1	OID20883	Q8WUW1	BRK1	Neurology	B04414	Q8WUW1	BRK1	ENSG00000254999	3	10115675	10127190	1	1:1	A	no
BSG:P35613:OID20626:v1	Basigin	OID20626	P35613	BSG	Inflammation	B04411	P35613	BSG	ENSG00000172270	19	571277	583494	1	1:1	C	no
BST1:Q10588:OID21051:v1	ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 2	OID21051	Q10588	BST1	Neurology	B04414	Q10588	BST1	ENSG00000109743	4	15703065	15738313	1	1:10	C	no
BST2:Q10589:OID21029:v1	Bone marrow stromal antigen 2	OID21029	Q10589	BST2	Neurology	B04414	Q10589	BST2	ENSG00000130303	19	17402939	17405630	-1	1:10	C	no
BTC:P35070:OID21199:v1	Probetacellulin [Cleaved into: Betacellulin	OID21199	P35070	BTC	Oncology	B04412	P35070	BTC	ENSG00000174808	4	74744759	74794523	-1	1:1	A	no
BTN2A1:Q7KYR7:OID20713:v1	Butyrophilin subfamily 2 member A1	OID20713	Q7KYR7	BTN2A1	Inflammation	B04411	Q7KYR7	BTN2A1	ENSG00000112763	6	26457904	26476621	1	1:10	D	no
